Anuncio BOE,Cantidad reclamada,Cuenta expediente,Fecha de conclusión,Fecha de inicio,Forma adjudicación,Identificador,Importe del depósito,Lotes,Puja mínima,Tasación,Tipo de subasta,Tramos entre pujas,Valor subasta
BOE-B-2025-9323,"7.751,28 €",1890 0000 05 0491 14,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-243302,"1.051,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"420,60 €","21.030,07 €"
BOE-B-2025-7604,"34.498,70 €",1995 0000 06 0586 20,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JA-2024-231445,"6.842,19 €",Sin lotes,Sin puja mínima,"136.843,86 €",JUDICIAL EN VÍA DE APREMIO,"2.736,88 €","136.843,86 €"
BOE-B-2025-8842,"42.512,95 €",3861 0000 05 0105 23,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),,SUB-JA-2025-241202,"5.855,75 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.342,30 €","117.115,00 €"
BOE-B-2025-9437,"164.773,89 €",3728 3108 06 0271 20,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-242445,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-8502,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R2886001058,"3.881,57 €",Sin lotes,Sin puja mínima,"77.631,53 €",AGENCIA TRIBUTARIA,"2.000,00 €","77.631,53 €"
BOE-B-2025-9887,"41.852,40 €",3285 0000 06 0159 22,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-JA-2025-243670,"6.048,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.419,20 €","120.960,00 €"
BOE-B-2025-7805,"771.093,00 €",1526 0000 06 0153 21,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-243596,Ver importe de consignación de cada lote (adjudicación independiente),5,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-9278,"209.079,52 €",5108 0000 05 0779 21,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-244106,"10.874,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"217.490,00 €"
BOE-B-2025-7308,"445.886,51 €",2306 0000 06 0072 18,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-230832,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-8317,"40.185,44 €",0059 0000 06 0063 16,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-243181,"4.032,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.612,80 €","80.640,00 €"
BOE-B-2025-9727,"246.180,00 €",4513 4084 00 1206 21,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2025-244324,"15.027,37 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"300.547,48 €"
BOE-B-2025-8558,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R2886001533,"43.839,11 €",Sin lotes,"87.678,24 €","1.095.977,97 €",AGENCIA TRIBUTARIA,"5.000,00 €","876.782,37 €"
BOE-B-2025-8806,"113.883,34 €",1657 0000 06 0638 21,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),,SUB-JA-2025-243491,"14.273,87 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.709,55 €","285.477,55 €"
BOE-B-2025-7235,"46.047,89 €",2244 0000 06 0012 20,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-241632,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-8555,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R0886001469,"3.989,04 €",Sin lotes,"7.978,09 €","79.780,91 €",AGENCIA TRIBUTARIA,"2.000,00 €","79.780,91 €"
BOE-B-2025-7298,"207.262,98 €",2766 0000 06 0551 16,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242955,"11.261,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"225.230,00 €"
BOE-B-2025-8669,"183.706,62 €",3602 0000 05 0037 14,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2025-243035,"11.245,45 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.498,18 €","224.909,00 €"
BOE-B-2025-7273,"2.386.591,41 €",4592 0000 06 5167 22,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-243146,Ver importe de consignación de cada lote (adjudicación independiente),29,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7336,"202.488,94 €",4190 0000 06 1222 15,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243194,"18.328,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"7.331,20 €","366.560,00 €"
BOE-B-2025-7392,"71.197,93 €",3728 3121 06 0079 16,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-241039,"6.725,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.690,01 €","134.500,00 €"
BOE-B-2025-9708,"110.727,43 €",3878 0000 06 0454 22,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2025-244304,"6.050,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.420,00 €","121.000,00 €"
BOE-B-2025-7588,"621.461,05 €",3527 0000 05 0541 21,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JA-2025-242840,"20.884,23 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"8.353,69 €","417.684,62 €"
BOE-B-2025-8648,"0,00 €",,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-RC-2025-07003001650,"13.806,52 €",Sin lotes,Sin puja mínima,"280.000,00 €",RECAUDACIÓN TRIBUTARIA,"5.522,61 €","276.130,45 €"
BOE-B-2025-8394,"174.778,23 €",4632 0000 05 0180 17,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-243198,"14.031,75 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.612,70 €","280.635,00 €"
BOE-B-2025-9722,"39.278,88 €",3640 0000 06 0002 21,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2025-243749,"6.587,26 €",Sin lotes,Sin puja mínima,"131.745,19 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"131.745,19 €"
BOE-B-2025-9397,"148.128,13 €",0865 0000 06 1088 20,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-243234,"11.600,00 €",Sin lotes,Sin puja mínima,"232.000,00 €",JUDICIAL EN VÍA DE APREMIO,"4.640,00 €","232.000,00 €"
BOE-B-2025-7779,"149.782,41 €",0713 0000 78 0003 18,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JV-2025-243691,"3.600,00 €",Sin lotes,Sin puja mínima,"72.000,00 €",JUDICIAL VOLUNTARIA,"1.440,00 €","72.000,00 €"
BOE-B-2025-7644,"88.400,25 €",4513 4563 00 0174 21,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JA-2025-240950,"7.537,30 €",Sin lotes,Sin puja mínima,"150.746,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"150.746,00 €"
BOE-B-2025-7832,"30.514,92 €",5170 0000 06 0120 16,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2024-228745,"13.082,60 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.233,04 €","261.652,01 €"
BOE-B-2025-7326,"2.451,68 €",0452 0000 05 0400 21,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2024-239237,"2.501,29 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.000,51 €","50.025,81 €"
BOE-B-2025-7619,"0,00 €",2153 0000 05 0012 23,26-03-2025 18:00:00 CET  (ISO: 2025-03-26T18:00:00+01:00),06-03-2025 18:00:00 CET  (ISO: 2025-03-06T18:00:00+01:00),,SUB-JV-2025-241418,"3.250,00 €",Sin lotes,"32.500,00 €","0,00 €",JUDICIAL VOLUNTARIA,"1.000,00 €","65.000,00 €"
BOE-B-2025-8836,"738.868,92 €",4196 0000 06 1619 16,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-231308,Ver importe de consignación de cada lote (adjudicación independiente),12,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7843,"75.452,47 €",0155 0000 06 1120 21,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243405,"8.841,85 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.536,74 €","176.837,00 €"
BOE-B-2025-7205,"0,00 €",0050 0000 05 0026 23,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JV-2025-242035,"3.308,22 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,"1.323,28 €","66.164,48 €"
BOE-B-2025-9356,"380.426,60 €",5387 0000 06 0269 21,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2024-230711,"16.850,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"337.000,00 €"
BOE-B-2025-8585,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R2886001656,"61.436,00 €",Sin lotes,"122.872,00 €","1.228.720,05 €",AGENCIA TRIBUTARIA,"5.000,00 €","1.228.720,05 €"
BOE-B-2025-7811,"87.632,69 €",4769 0000 06 0110 23,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243429,"8.010,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.204,00 €","160.200,00 €"
BOE-B-2025-9279,"0,00 €",0855 0000 05 0267 23,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JV-2025-243579,"6.879,75 €",Sin lotes,Sin puja mínima,"137.595,09 €",JUDICIAL VOLUNTARIA,Sin tramos,"137.595,09 €"
BOE-B-2025-10020,"270.105,26 €",,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-RC-2025-3800100125004,"3.005,45 €",Sin lotes,Sin puja mínima,"78.628,24 €",RECAUDACIÓN TRIBUTARIA,"1.500,00 €","60.109,06 €"
BOE-B-2025-7210,"107.115,25 €",0219 0000 06 0065 21,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243261,"9.783,36 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.913,34 €","195.667,20 €"
BOE-B-2025-8815,"203.874,37 €",4862 0000 06 0001 23,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),,SUB-JA-2025-243197,"8.814,14 €",Sin lotes,Sin puja mínima,"176.282,88 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"176.282,88 €"
BOE-B-2025-9455,"38.219,59 €",4513 4514 00 0660 21,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-243852,"2.828,55 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"56.570,94 €"
BOE-B-2025-7859,"327.955,03 €",3521 0000 06 0049 18,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-242877,Ver importe de consignación de cada lote (adjudicación independiente),4,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7208,"136.861,57 €",1213 0000 06 0902 21,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2024-228096,"21.669,59 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"8.667,83 €","433.391,99 €"
BOE-B-2025-8684,"74.768,60 €",0766 0000 06 2475 22,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2024-239737,"8.427,06 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.370,82 €","168.541,20 €"
BOE-B-2025-8395,"0,00 €",4631 0000 05 0186 22,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JV-2025-243879,"3.186,56 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,"1.274,62 €","63.731,23 €"
BOE-B-2025-8649,"0,00 €",,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-RC-2025-07003001655,"13.143,75 €",Sin lotes,Sin puja mínima,"302.188,14 €",RECAUDACIÓN TRIBUTARIA,"5.257,50 €","262.875,01 €"
BOE-B-2025-7332,"97.046,76 €",1173 0000 06 0208 19,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2024-239283,"7.759,69 €",Sin lotes,Sin puja mínima,"155.193,79 €",JUDICIAL EN VÍA DE APREMIO,"7.759,68 €","155.193,79 €"
BOE-B-2025-7533,"6.655,30 €",,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-RC-2025-0601100101003,"2.402,51 €",Sin lotes,"19.220,11 €","48.050,27 €",RECAUDACIÓN TRIBUTARIA,"600,00 €","48.050,27 €"
BOE-B-2025-9337,"250.000,00 €",2293 0000 52 1536 24,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JV-2025-242668,"547,82 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,"219,12 €","10.956,46 €"
BOE-B-2025-7806,"73.857,02 €",0240 0000 06 0716 21,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2024-239089,"13.703,07 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.481,23 €","274.061,52 €"
BOE-B-2025-7865,"188.600,88 €",4034 0000 06 0293 21,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243617,"19.500,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"7.800,00 €","390.000,00 €"
BOE-B-2025-9866,"55.813,91 €",1208 0000 06 0015 23,10-04-2025 18:00:00 CET  (ISO: 2025-04-10T18:00:00+02:00),21-03-2025 18:00:00 CET  (ISO: 2025-03-21T18:00:00+01:00),,SUB-JA-2025-243236,"1.355,58 €",Sin lotes,Sin puja mínima,"80.020,82 €",JUDICIAL EN VÍA DE APREMIO,"542,23 €","27.111,60 €"
BOE-B-2025-8329,"205.010,75 €",0769 0000 06 3342 22,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2024-235554,"12.693,95 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.077,58 €","253.879,00 €"
BOE-B-2025-8327,"94.304,15 €",4357 0000 06 0433 16,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-242780,"5.049,05 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.019,62 €","100.980,96 €"
BOE-B-2025-8698,"145.292,32 €",3513 0000 05 0049 23,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2025-243847,"7.537,38 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.014,95 €","150.747,71 €"
BOE-B-2025-7357,"71.505,05 €",4219 0000 06 0843 15,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-240899,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-8672,"1.026.080,00 €",5317 0000 05 1413 21,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2023-215157,"51.304,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"20.521,60 €","1.026.080,00 €"
BOE-B-2025-8346,"156.279,65 €",5066 0000 06 0034 22,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-243735,"14.721,03 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.888,41 €","294.420,65 €"
BOE-B-2025-9704,"0,00 €",3859 0000 05 0177 23,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JV-2024-239551,"5.750,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL VOLUNTARIA,"5.000,00 €","115.000,00 €"
BOE-B-2025-7814,"259.499,79 €",0738 0000 06 0331 17,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243231,"9.932,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.973,00 €","198.650,00 €"
BOE-B-2025-9718,"118.151,61 €",3412 0000 06 0511 24,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2025-244150,"10.258,56 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.103,42 €","205.171,20 €"
BOE-B-2025-8846,"156.403,97 €",0865 0000 06 0188 18,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),,SUB-JA-2025-243190,"13.105,21 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.242,08 €","262.104,21 €"
BOE-B-2025-7846,"42.767,92 €",0155 0000 06 1666 15,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243394,"4.140,50 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.656,20 €","82.810,00 €"
BOE-B-2025-8340,"64.309,80 €",2460 0000 18 0207 23,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-242682,"4.291,01 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"85.820,25 €"
BOE-B-2025-9287,"54.111,22 €",4770 0000 06 0440 21,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-243974,"5.133,12 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.053,24 €","102.662,40 €"
BOE-B-2025-7492,,,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-AT-2025-24R4186001616,"2.820,99 €",Sin lotes,"5.641,98 €","66.036,94 €",AGENCIA TRIBUTARIA,"1.000,00 €","56.419,82 €"
