Anuncio BOE,Cantidad reclamada,Cuenta expediente,Fecha de conclusión,Fecha de inicio,Forma adjudicación,Identificador,Importe del depósito,Lotes,Puja mínima,Tasación,Tipo de subasta,Tramos entre pujas,Valor subasta
BOE-B-2025-7890,"3.070,60 €",4513 4444 00 1167 19,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243507,"4.266,10 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"85.322,00 €"
BOE-B-2025-9398,"213.625,35 €",4883 0000 06 0241 21,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2024-228582,"13.840,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.536,00 €","276.800,00 €"
BOE-B-2025-8356,"974.225,74 €",3985 0000 05 0672 17,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-238664,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7319,"81.289,39 €",0186 0000 06 1267 22,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243449,"8.234,63 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"3.293,85 €","164.692,66 €"
BOE-B-2025-7539,"1.311,57 €",,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-RC-2025-2408000126029,"1.042,49 €",Sin lotes,"10.424,88 €","20.849,75 €",RECAUDACIÓN TRIBUTARIA,"100,00 €","20.849,75 €"
BOE-B-2025-7238,"39.136,85 €",2907 0000 05 0120 18,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242870,"3.866,25 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.546,50 €","77.325,00 €"
BOE-B-2025-7799,"193.905,00 €",1323 0000 06 0430 20,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-241585,"9.695,25 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"193.905,00 €"
BOE-B-2025-8353,"214.392,09 €",0801 0000 06 0680 22,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2024-233605,"12.250,00 €",Sin lotes,Sin puja mínima,"245.000,00 €",JUDICIAL EN VÍA DE APREMIO,"4.900,00 €","245.000,00 €"
BOE-B-2025-8391,"100.292,88 €",4228 0000 06 2755 21,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-241620,"11.704,26 €",Sin lotes,Sin puja mínima,"234.085,10 €",JUDICIAL EN VÍA DE APREMIO,"4.681,70 €","234.085,10 €"
BOE-B-2025-8403,"132.388,81 €",2319 0000 05 0210 13,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-JA-2025-243330,"2.901,91 €",Sin lotes,Sin puja mínima,"66.553,33 €",JUDICIAL EN VÍA DE APREMIO,"1.160,76 €","58.038,23 €"
